Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
7.6,Regular,Starchy Foods,172.3448,Small,Tier 2,Supermarket Type1,2556.672,19
6.035,Regular,Baking Goods,185.324,Small,Tier 2,Supermarket Type1,3728.48,19
17.0,Low Fat,Household,126.7362,Small,Tier 2,Supermarket Type1,1258.362,19
21.25,Low Fat,Snack Foods,120.8756,Medium,Tier 1,Supermarket Type1,1454.1072,24
13.3,Low Fat,Dairy,232.53,Small,Tier 1,Supermarket Type1,699.09,26
10.3,Low Fat,Dairy,263.6226,Small,Tier 2,Supermarket Type1,6608.065,19
20.5,Regular,Frozen Foods,82.8592,Medium,Tier 3,Supermarket Type2,1733.7432,14
14.8,Low Fat,Meat,192.4846,Small,Tier 1,Supermarket Type1,5159.2842,26
7.855,Regular,Dairy,218.4482,Small,Tier 2,Supermarket Type1,4819.0604,19
7.365,Low Fat,Snack Foods,94.712,Small,Tier 1,Supermarket Type1,1304.968,26
17.75,Low Fat,Health and Hygiene,239.3196,Medium,Tier 1,Supermarket Type1,3615.294,24
17.7,Low Fat,Snack Foods,169.0816,Small,Tier 2,Supermarket Type1,5201.2296,19
4.92,Low Fat,Baking Goods,198.8084,High,Tier 3,Supermarket Type1,2976.126,36
5.46,Regular,Canned,186.824,Medium,Tier 1,Supermarket Type1,1864.24,24
17.35,Low Fat,Frozen Foods,73.6038,High,Tier 3,Supermarket Type1,739.038,36
19.25,Low Fat,Dairy,54.6956,High,Tier 3,Supermarket Type1,163.7868,36
15.1,Regular,Snack Foods,260.3304,High,Tier 3,Supermarket Type1,5424.9384,36
18.2,Low Fat,Fruits and Vegetables,195.111,Small,Tier 2,Supermarket Type1,3731.809,19
16.75,Low Fat,Snack Foods,156.163,Small,Tier 1,Supermarket Type1,2816.334,26
18.0,Low Fat,Health and Hygiene,126.8994,Small,Tier 1,Supermarket Type1,3083.9856,26
19.35,Regular,Baking Goods,48.8034,Small,Tier 1,Supermarket Type1,340.2238,26
5.98,Low Fat,Fruits and Vegetables,148.2418,Medium,Tier 1,Supermarket Type1,1618.5598,24
13.1,Regular,Fruits and Vegetables,178.9318,Medium,Tier 1,Supermarket Type1,3067.3406,24
7.905,Low Fat,Snack Foods,249.6408,Medium,Tier 1,Supermarket Type1,3254.4304,24
7.275,Low Fat,Snack Foods,145.976,Medium,Tier 1,Supermarket Type1,3515.424,24
16.7,Regular,Starchy Foods,64.4168,Medium,Tier 3,Supermarket Type2,830.9184,14
9.195,Low Fat,Snack Foods,183.6634,Medium,Tier 3,Supermarket Type2,2726.451,14
14.85,Low Fat,Baking Goods,141.0812,Small,Tier 2,Supermarket Type1,1139.8496,19
6.78,Low Fat,Fruits and Vegetables,187.724,Medium,Tier 1,Supermarket Type1,1491.392,24
11.1,Regular,Frozen Foods,176.0712,Medium,Tier 3,Supermarket Type2,1581.9408,14
19.5,Low Fat,Breads,156.4314,Medium,Tier 1,Supermarket Type1,2326.971,24
17.5,Low Fat,Soft Drinks,174.8738,Small,Tier 1,Supermarket Type1,2085.2856,26
13.15,Low Fat,Household,157.8604,Small,Tier 2,Supermarket Type1,3803.0496,19
6.115,Regular,Soft Drinks,188.653,Medium,Tier 1,Supermarket Type1,3605.307,24
15.85,Regular,Snack Foods,40.848,High,Tier 3,Supermarket Type1,679.116,36
15.6,Regular,Snack Foods,168.2132,Medium,Tier 1,Supermarket Type1,2367.5848,24
11.395,Low Fat,Health and Hygiene,150.1708,Medium,Tier 1,Supermarket Type1,2708.4744,24
7.09,Low Fat,Baking Goods,47.6034,Small,Tier 1,Supermarket Type1,1458.102,26
5.675,Regular,Snack Foods,155.5288,Small,Tier 2,Supermarket Type1,1414.1592,19
10.8,Low Fat,Soft Drinks,238.1564,Medium,Tier 3,Supermarket Type2,5243.8408,14
7.22,Regular,Baking Goods,61.851,Small,Tier 1,Supermarket Type1,822.263,26
15.5,Regular,Snack Foods,149.1418,Medium,Tier 1,Supermarket Type1,588.5672,24
9.8,Regular,Meat,249.6408,Small,Tier 1,Supermarket Type1,1001.3632,26
19.6,Regular,Frozen Foods,49.9376,Small,Tier 1,Supermarket Type1,623.1888,26
17.25,Low Fat,Soft Drinks,261.591,High,Tier 3,Supermarket Type1,3418.883,36
12.3,Low Fat,Soft Drinks,107.9938,High,Tier 3,Supermarket Type1,2036.6822,36
14.5,Low Fat,Canned,153.4682,Small,Tier 2,Supermarket Type1,1677.1502,19
6.695,Low Fat,Starchy Foods,192.082,Small,Tier 2,Supermarket Type1,6757.87,19
20.35,Low Fat,Snack Foods,119.5466,Small,Tier 2,Supermarket Type1,353.5398,19
11.1,Regular,Frozen Foods,176.9712,High,Tier 3,Supermarket Type1,3691.1952,36
5.88,Low Fat,Frozen Foods,155.3998,Small,Tier 2,Supermarket Type1,2153.1972,19
19.2,Low Fat,Snack Foods,181.3318,Small,Tier 1,Supermarket Type1,1443.4544,26
